State District,Crop,Area_Total,Producao_Total,Rendimento_Medio_Local
WEST BENGAL - PURBA BARDHAMAN,RICE,13523606.0,41045923.0,3.026818181818182
WEST BENGAL - MEDINIPUR WEST,RICE,14047867.0,36845717.0,2.5966666666666667
PUNJAB - SANGRUR,WHEAT,7079000.0,34191000.0,4.840454545454545
ANDHRA PRADESH - WEST GODAVARI,RICE,9176879.0,32883829.0,3.7202272727272727
PUNJAB - FIROZEPUR,WHEAT,7108000.0,31845000.0,4.572727272727272
PUNJAB - SANGRUR,RICE,6855000.0,29932000.0,4.405
ANDHRA PRADESH - EAST GODAVARI,RICE,8477918.0,29596931.0,3.6725
PUNJAB - LUDHIANA,WHEAT,5784000.0,27808000.0,4.818636363636364
HARYANA - SIRSA,WHEAT,5901182.0,26951700.0,4.524545454545454
PUNJAB - PATIALA,WHEAT,5558000.0,26089000.0,4.710454545454545
WEST BENGAL - BIRBHUM,RICE,8327839.0,24977028.0,2.938939393939394
PUNJAB - BATHINDA,WHEAT,5460000.0,24628000.0,4.502272727272727
PUNJAB - AMRITSAR,WHEAT,5542000.0,24591000.0,4.447727272727272
PUNJAB - LUDHIANA,RICE,5639000.0,23755000.0,4.239090909090909
WEST BENGAL - MURSHIDABAD,RICE,8112664.0,23142819.0,2.733787878787879
ANDHRA PRADESH - KRISHNA,RICE,6984201.0,23121564.0,3.4902272727272727
WEST BENGAL - BANKURA,RICE,8205328.0,22192500.0,2.7371212121212123
WEST BENGAL - MEDINIPUR EAST,RICE,9024355.0,21772881.0,2.3915873015873013
UTTAR PRADESH - HARDOI,WHEAT,6823963.0,20598818.0,3.0063636363636363
HARYANA - HISAR,WHEAT,4656279.0,20451400.0,4.375454545454546
PUNJAB - PATIALA,RICE,5268000.0,20261000.0,3.852272727272727
PUNJAB - MUKTSAR,WHEAT,4391000.0,20190000.0,4.581818181818182
ANDHRA PRADESH - GUNTUR,RICE,6009087.0,20176655.0,3.4884090909090912
WEST BENGAL - PARAGANAS SOUTH,RICE,8933330.0,19858054.0,2.4727272727272727
