State District,Crop,Rendimento_Medio,Rendimento_Std_Dev,Contagem_Registros,Coef_Variacao_Rendimento (%)
MAHARASHTRA - NASHIK,MAIZE,25.44359375,186.4860956335826,64,732.9392909898296
MAHARASHTRA - OSMANABAD,MAIZE,20.45810344827586,147.84631037949927,58,722.6784767869539
MAHARASHTRA - JALGAON,MAIZE,22.931562500000002,165.55595840258727,64,721.9567284287202
MAHARASHTRA - AHMEDNAGAR,MAIZE,19.566825396825397,139.98401513381864,63,715.4150573476791
MAHARASHTRA - PUNE,MAIZE,19.787076923076924,141.43499460577155,65,714.7846807065334
MAHARASHTRA - DHULE,MAIZE,13.718709677419353,91.84973143956866,62,669.5216503542674
MAHARASHTRA - KOLHAPUR,RICE,7.909999999999999,33.29660475742374,44,420.94317013177925
SIKKIM - SOUTH DISTRICT,MAIZE,2.516153846153846,3.9582158373924754,26,157.31215495598343
SIKKIM - WEST DISTRICT,RICE,2.936363636363636,3.9602146953038337,22,134.86799271932563
SIKKIM - EAST DISTRICT,RICE,2.2427272727272727,2.8979996086269115,22,129.21765583662759
JAMMU AND KASHMIR - RAJAURI,BARLEY,0.673,0.8479131244807258,10,125.99006307291616
JHARKHAND - PAKUR,RICE,1.4333333333333333,1.7771428703425043,30,123.98671188436077
JHARKHAND - LOHARDAGA,RICE,1.556,1.829338678320666,30,117.56675310544125
ASSAM - DARRANG,MAIZE,2.0233333333333334,2.375864754848923,21,117.42329925118236
ODISHA - SONEPUR,MAIZE,1.4791999999999998,1.7114368232569963,25,115.70016382213335
DELHI - DELHI_TOTAL,MAIZE,8.17,9.194273761423466,21,112.53701054373889
ASSAM - SONITPUR,MAIZE,1.89,2.0900861226274867,21,110.58656733478767
BIHAR - JEHANABAD,BARLEY,1.4004761904761904,1.546067515312563,21,110.39584434397764
ASSAM - LAKHIMPUR,MAIZE,1.249047619047619,1.3570258094889158,21,108.64484178142293
JHARKHAND - PALAMU,RICE,1.0485714285714285,1.125366489393449,28,107.32377964242703
ASSAM - MARIGAON,MAIZE,0.8928571428571429,0.9575914726914754,21,107.25024494144523
ASSAM - GOALPARA,MAIZE,1.1838095238095239,1.2256568695620982,21,103.53497289140812
ASSAM - DHUBRI,MAIZE,1.577142857142857,1.5990501644949817,21,101.38905028500791
ASSAM - BARPETA,MAIZE,1.5704761904761906,1.5869734597354683,21,101.0504628697539
ARUNACHAL PRADESH - KRA DAADI,RICE,2.9225,2.8402860771408216,4,97.18686320413418
ASSAM - GOLAGHAT,MAIZE,0.899047619047619,0.864123282650715,21,96.11540749822572
JHARKHAND - DHANBAD,MAIZE,1.36875,1.30882071601372,16,95.62160482292018
ASSAM - TINSUKIA,MAIZE,0.8761904761904761,0.8180982593214351,21,93.36991003125075
ASSAM - JORHAT,MAIZE,1.1733333333333333,1.0737054220470965,21,91.50898483355935
ASSAM - BONGAIGAON,MAIZE,1.3633333333333333,1.2456015949465276,21,91.36442016722697
ANDAMAN AND NICOBAR ISLAND - NICOBARS,MAIZE,3.1362500000000004,2.8650651326428362,8,91.35321267892661
TELANGANA - ADILABAD,WHEAT,1.7750000000000001,1.6180327561579215,6,91.15677499481248
ASSAM - KAMRUP,MAIZE,1.447142857142857,1.3191062991932943,21,91.15245897683178
RAJASTHAN - SAWAI MADHOPUR,RICE,2.1304545454545454,1.9298518997525056,22,90.5840447931622
ASSAM - HAILAKANDI,MAIZE,0.914,0.80300357212288,20,87.85597069178117
ASSAM - KARIMGANJ,MAIZE,1.0671428571428572,0.9361150722915579,21,87.72162658689298
ARUNACHAL PRADESH - KURUNG KUMEY,RICE,1.6105882352941177,1.4031369791837651,17,87.11953486531777
MADHYA PRADESH - JHABUA,BARLEY,1.4173684210526316,1.2311189224317813,19,86.85948580097974
ASSAM - NAGAON,MAIZE,1.4438095238095239,1.2529145070214334,21,86.77837944409663
MADHYA PRADESH - REWA,BARLEY,1.0142857142857142,0.8796395365635371,21,86.72502473161634
ASSAM - NALBARI,MAIZE,1.4761904761904763,1.2781293995150733,21,86.58295932198882
ASSAM - DHEMAJI,MAIZE,1.895714285714286,1.640751569947661,21,86.55057264230312
ODISHA - GAJAPATI,WHEAT,0.9359999999999999,0.8052515135037002,5,86.03114460509617
MADHYA PRADESH - REWA,RICE,1.2576190476190476,1.0799440020755928,21,85.87210921464387
ODISHA - PURI,MAIZE,1.262,1.0694250791897486,5,84.74049755861716
ODISHA - BALESHWAR,MAIZE,1.823888888888889,1.5375998825093642,18,84.30337461214911
ASSAM - KOKRAJHAR,MAIZE,0.7657142857142858,0.6451943228870775,21,84.26045261584966
ANDHRA PRADESH - CHITTOOR,WHEAT,0.635,0.5334479043605539,4,84.00754399378802
MIZORAM - CHAMPHAI,RICE,1.8106060606060606,1.5198970758614285,33,83.94410628188643
JHARKHAND - LATEHAR,RICE,0.8092857142857143,0.6714160192454979,28,82.9640270912354
MADHYA PRADESH - SATNA,BARLEY,1.41,1.1675487141871213,21,82.80487334660435
TAMIL NADU - COIMBATORE,MAIZE,5.9023076923076925,4.875354598543419,26,82.60082077553037
MADHYA PRADESH - MANDLA,RICE,1.0480952380952382,0.8552579672100054,21,81.60116906592508
MADHYA PRADESH - MANDSAUR,RICE,0.663,0.5404740717390819,10,81.519467833949
ASSAM - CACHAR,MAIZE,0.8166666666666667,0.6631012994507953,21,81.19607748377085
ASSAM - DIBRUGARH,MAIZE,1.0435,0.8457713701268894,20,81.05140106630469
MAHARASHTRA - NANDED,RICE,0.7979999999999999,0.6442114042248347,25,80.728246143463
ASSAM - KAMRUP METRO,MAIZE,1.7907142857142857,1.3977920186753563,14,78.0577912303749
ASSAM - SIVASAGAR,MAIZE,1.349047619047619,1.051717189941786,21,77.95997525159729
MAHARASHTRA - SOLAPUR,RICE,0.581,0.44392863342990996,20,76.40768217382272
TAMIL NADU - TUTICORIN,MAIZE,3.4169565217391304,2.6068047923265074,23,76.29025349727658
TELANGANA - NAGARKURNOOL,MAIZE,3.9899999999999998,3.0403026165169806,6,76.19806056433535
MADHYA PRADESH - SEHORE,RICE,1.476,1.0994994076253162,20,74.49182978491302
TAMIL NADU - PERAMBALUR,MAIZE,4.359230769230769,3.2400418800712107,26,74.32600042513806
ASSAM - BAKSA,MAIZE,1.9721428571428572,1.4642150880850207,14,74.24487951173593
ASSAM - CHIRANG,MAIZE,1.5007142857142857,1.1137494835410306,14,74.21462527165363
HIMACHAL PRADESH - MANDI,MAIZE,1.72,1.2755351817962528,21,74.15902219745657
GUJARAT - SABAR KANTHA,MAIZE,2.033513513513513,1.507424618008801,37,74.12906813706226
UTTAR PRADESH - JHANSI,MAIZE,1.1776470588235295,0.8690714613834051,34,73.79727694064879
MADHYA PRADESH - BARWANI,RICE,0.6581818181818182,0.4845777382583566,22,73.62368951439119
TAMIL NADU - RAMANATHAPURAM,RICE,1.5050000000000001,1.1076551810017412,20,73.59835089712566
MADHYA PRADESH - PANNA,RICE,0.8552380952380952,0.6289802782887477,21,73.54446461059968
MADHYA PRADESH - NEEMUCH,RICE,0.6370588235294118,0.4659769938779483,17,73.14504982387
RAJASTHAN - TONK,MAIZE,1.0968181818181817,0.8014295938754659,22,73.06859123605575
ASSAM - UDALGURI,MAIZE,1.3128571428571427,0.9563747943420234,14,72.8468287311661
TAMIL NADU - TIRUNELVELI,MAIZE,4.581153846153846,3.2750026893705932,26,71.48859871012965
WEST BENGAL - PURULIA,MAIZE,2.2928571428571427,1.6309715102437845,35,71.13271384240805
ASSAM - DIMA HASAO,MAIZE,1.1276190476190475,0.797971833850699,21,70.76608323844881
MADHYA PRADESH - BARWANI,MAIZE,2.314090909090909,1.597550682081223,22,69.03577883674505
MADHYA PRADESH - KATNI,RICE,1.1785714285714286,0.8019930530514944,21,68.04789541042983
GUJARAT - PANCH MAHALS,RICE,1.8313157894736842,1.2455893450494475,38,68.01608724224602
MADHYA PRADESH - UJJAIN,RICE,0.6727272727272727,0.4556992628717081,11,67.73907961606471
ANDHRA PRADESH - KURNOOL,WHEAT,0.74,0.49889351252757863,20,67.41804223345657
ODISHA - BHADRAK,MAIZE,2.4783333333333335,1.669119709925147,12,67.34847518191582
ANDHRA PRADESH - VISAKHAPATANAM,MAIZE,4.3725,2.9064340214307687,44,66.47076092466024
KARNATAKA - SHIVAMOGGA,WHEAT,0.882,0.5845682167206835,5,66.27757559191423
TELANGANA - RANGAREDDI,WHEAT,1.5985714285714285,1.0555950702712438,7,66.03365050847817
UTTAR PRADESH - JALAUN,MAIZE,1.4026923076923077,0.9254298793201253,26,65.97525873957571
JAMMU AND KASHMIR - KISHTWAR,RICE,1.45,0.9503215829976246,10,65.53941951707756
MAHARASHTRA - PALGHAR,WHEAT,1.4775,0.9661047217218915,4,65.38779842449351
MADHYA PRADESH - SATNA,RICE,1.3271428571428572,0.8650557372628821,21,65.18181012745075
ASSAM - KARBI ANGLONG,MAIZE,1.3033333333333335,0.8453303101943838,21,64.85910308396807
MADHYA PRADESH - RAJGARH,RICE,0.8,0.5137411799729509,21,64.21764749661885
MADHYA PRADESH - SHAHDOL,BARLEY,0.82,0.5243241263509474,20,63.941966628164316
CHHATTISGARH - DURG,BARLEY,0.91,0.5797290007285424,15,63.706483596543116
